image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_NKR-09-0001.jpg, FAR EAST, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-41-0001.jpg, LACUNA, Hand Knotted- Wool, 165x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ENLP-08-0002.jpg, ERBE, Hand Knotted- Wool, 180x270 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1510-0001.jpg, VINTAGE, Hand Knotted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1647-0001.jpg, LACUNA, Hand Knotted- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWS-1444-0002.jpg, CYANNA, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GS-7016-001.jpg, ERBE, Hand Knotted- Wool, 270x360 - 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SRB-701-0013.jpg, UNSTRING BY KAVI, Hand Knotted- Wool And Bamboo Silk, 120x180 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-1712-0001.jpg, ERBE, Hand Knotted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PKWL-8001-0002.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-1717-0001.jpg, VISCAYA, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RN_PAE-1875-0001.jpg, LACUNA, Hand Knotted- Wool, 105x345 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-15073-0007.jpg, PATHWAYS, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-34-0001.jpg, LACUNA, Hand Knotted- Wool, 165x285 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PKWL-464-0003.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SKPS-217-0001.jpg, FAR EAST, Hand Knotted- Silk, 255x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GS-1016-0001.jpg, ERBE, Hand Knotted- Wool, 120x180 - 420x600 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13160-0006.jpg, ALHAMBRA, Flat Weaves- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-459-0001.jpg, LACUNA, Hand Knotted- Wool, 150x255 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PKWL-5112-0001.jpg, ERBE, Hand Knotted- Wool, 240x300 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RN_PAE-162-0001.jpg, LACUNA, Hand Knotted- Wool, 105x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-740-0001.jpg, LACUNA, Hand Knotted- Wool, 165x285 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_EA-3011%28CS-01%29-0001-OX.jpg, SOMEPLACE IN TIME, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ENM-8005%28CS-02%29-0001.jpg, VISCAYA, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_AKWL-1643-0001.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GS-1069-0001.jpg, ERBE, Hand Knotted- Wool, 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LRB-1615-0001.jpg, UVENUTI, Hand Knotted- Wool And Bamboo Silk, 180x270 - 270x360 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_JPL-02-0001.jpg, FAR EAST, Hand Knotted- Wool And Silk, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_NE-2348-0018.jpg, LACUNA, Hand Knotted- Wool And Silk, 108x158 - 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWV-13047-0114.jpg, ABRASH, Flat Weaves- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1857-0001.jpg, VINTAGE, Hand Knotted- Wool, 195x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ESH-1419-0003.jpg, VISCAYA, Hand Knotted- Wool And Silk, 240x300 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13165-0001.jpg, ALHAMBRA, Flat Weaves- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1634-0001.jpg, LACUNA, Hand Knotted- Wool, 165x285 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1574-0001.jpg, LACUNA, Hand Knotted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RN_PAE-125-0001.jpg, LACUNA, Hand Knotted- Wool, 150x405 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GS-1506-0003.jpg, ERBE, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_EA-7040-0002.jpg, SOMEPLACE IN TIME, Hand Knotted- Wool, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GS-21-0004.jpg, ERBE, Hand Knotted- Wool, 180x270 - 300x420 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_NE-2349-0006.jpg, FAR EAST, Hand Knotted- Wool And Silk, 195x295 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_GS-1068%28CS-01%29-0001.jpg, ERBE, Hand Knotted- Wool, 240x300 - 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAE-1814-0001.jpg, VINTAGE, Hand Knotted- Wool, 195x300 cm
