image_urls, collection, material, size
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13208-0001.jpg, ALHAMBRA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13088-0001.jpg, INDUSBAR, Flat Weaves- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14757-0001.jpg, ROAR, Hand Tufted- Polyester, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAHN-24-0001.jpg, PATHWAYS, Hand Tufted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWV-13042-0001.jpg, INDUSBAR, Flat Weaves- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13129-0003.jpg, ALHAMBRA, Flat Weaves- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SRB-730-0007.jpg, UNSTRING BY KAVI, Hand Knotted- Wool And Bamboo Silk, 120x180 - 360x540 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-3217-0001.jpg, TRANSCEND, Hand Tufted- Wool And Viscose, 150x210 - 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TOP-235-0001.jpg, ROAR, Hand Tufted- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14836-0002.jpg, TRANSCEND, Hand Tufted- Wool And Viscose, 150x240 - 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14592-0001.jpg, CONTOUR, Hand Tufted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LSEA-1197-0010.jpg, UNDISCOVER, Hand Knotted- Wool, 150x240 - 360x450 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_LEQ-38%28MD%29-001.jpg, TRANSCEND, Hand Tufted- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13091-0003.jpg, INDUSBAR, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TOP-109%28CM-02%29-02.jpg, JAIPUR WUNDERKAMMER, Hand Tufted- Wool And Viscose, 168x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PDJW-99-0001.jpg, ALHAMBRA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_HWV-51025-0001.jpg, TESORO, Hand Loom- Wool And Viscose, 240x300 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TNQ-228-0001.jpg, CONTOUR, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TRA-14810-0001.jpg, APREZO, Hand Tufted- Wool And Viscose, 150x198 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PAEM-658-0001.jpg, ZURI, Hand Knotted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13138-0003.jpg, ALHAMBRA, Flat Weaves- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_TOP-9504-0001.jpg, ARCHETYPE, Hand Tufted- Wool And Viscose, 165x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_DWRM-170-0004.jpg, INDUSBAR, Flat Weaves- Wool, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAHN-21-0001.jpg, PATHWAYS, Hand Tufted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TX-2255-0003.jpg, APREZO, Flat Weaves- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAHN-7078-0002.jpg, PATHWAYS, Hand Tufted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13024-0006.jpg, ALHAMBRA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-14699-0002.jpg, TRANSCEND, Hand Tufted- Wool And Viscose, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_DWRM-176-0019.jpg, ALHAMBRA, Flat Weaves- Wool, 120x180 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TRA-13506-0002.jpg, IMARA, Hand Tufted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_PTWL-320-0001.jpg, MODO, Hand Tufted- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_ADWL-13203-0001.jpg, ALHAMBRA, Flat Weaves- Wool, 180x270 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_ADWL-13094-0005.jpg, ORENDA, Flat Weaves- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SDWL-762-0001.jpg, INDUSBAR, Flat Weaves- Wool, 170x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_SDWL-463-0001.jpg, INDUSBAR, Flat Weaves- Wool, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/RCT_TAQ-229-0037.jpg, CONTOUR, Hand Tufted- Wool And Viscose, 150x240 cm
https://d16n7e76tyykgs.cloudfront.net/fit-in/300x400/prod-images/Headshot/Large/IR_ADWL-13199-0010.jpg, ALHAMBRA, Flat Weaves- Wool, 150x240 cm
